"ID","n_victimas","tipo_de_calle","calle","altura","cruce","dirección_normalizada","comuna","lon","lat","participantes","victima","acusado","fecha_hora","es_cruce"
"2017-0031",1,"CALLE","24 DE NOVIEMBRE","ESQ","PAVON","24 DE NOVIEMBRE y PAVON",3.0,-58.4099756,-34.62873635,"AUTO-OBJETO FIJO","AUTO","OBJETO FIJO","2017-03-11 01:30:00","Esquina"
"2017-0032",1,"GRAL PAZ","PAZ, GRAL. AV.","ESQ","LOS CEDROS","PAZ, GRAL. AV. y LOS CEDROS",8.0,-58.48892175,-34.68359163,"AUTO-AUTO","AUTO","AUTO","2017-03-12 05:00:00","Esquina"
"2017-0033",1,"GRAL PAZ","PAZ, GRAL. AV.","ESQ","GUTIERREZ, RICARDO","PAZ, GRAL. AV. y GUTIERREZ, RICARDO",11.0,-58.52466448,-34.60325478,"AUTO-AUTO","AUTO","AUTO","2017-03-12 07:30:00","Esquina"
"2017-0034",1,"CALLE","GODOY CRUZ","2651","NA","GODOY CRUZ 2651",14.0,-58.42554218,-34.57929036,"PEATON-AUTO","PEATON","AUTO","2017-03-13 07:50:00","Calle"
"2017-0035",3,"AVENIDA","ACHAVAL RODRIGUEZ, T., DR. AV.","ESQ","VILLAFLOR, AZUCENA","ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1.0,-58.35881506,-34.61113641,"AUTO-OBJETO FIJO","AUTO","OBJETO FIJO","2017-03-23 05:00:00","Esquina"
"2017-0036",2,"GRAL PAZ","PAZ, GRAL. AV.","ESQ","CAMPANA","PAZ, GRAL. AV. y CAMPANA",12.0,-58.51452347,-34.58159762,"MOTO-PASAJEROS","MOTO","PASAJEROS","2017-03-29 18:00:00","Esquina"
"2017-0037",1,"AVENIDA","INDEPENDENCIA AV.","ESQ","CEVALLOS, VIRREY","INDEPENDENCIA AV. y CEVALLOS, VIRREY",1.0,-58.38896772,-34.61799615,"MOTO-CARGAS","MOTO","CARGAS","2017-03-31 03:00:00","Esquina"
"2017-0038",1,"AVENIDA","CASTA?ARES AV.","ESQ","LAUTARO","CASTAÃ‘ARES AV. y LAUTARO",7.0,-58.44516857,-34.64363363,"MOTO-AUTO","MOTO","AUTO","2017-04-01 19:00:00","Esquina"
"2017-0040",1,"AVENIDA","GUIRALDES, INT.","2699","NA","GUIRALDES, INT. 2699",13.0,-58.43834197,-34.54560369,"MULTIPLE","AUTO","MULTIPLE","2017-04-03 09:40:00","Calle"
"2017-0041",1,"CALLE","FERNANDEZ MORENO, BALDOMERO","2186","NA","FERNANDEZ MORENO, BALDOMERO 2186",7.0,-58.45485084,-34.63531854,"MOTO-AUTO","MOTO","AUTO","2017-04-03 23:15:00","Calle"
"2017-0045",1,"CALLE","NOGOYA","5940","NA","NOGOYA 5940",10.0,-58.52449285,-34.62454175,"MOTO-OBJETO FIJO","MOTO","OBJETO FIJO","2017-04-14 06:15:00","Calle"
